出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-21 Tuesday,Departure time: 4:35 PM.,TPE,Arrival time: 6:30 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 871,Economy,$117
2025-01-21 Tuesday,Departure time: 6:10 PM.,TPE,Arrival time: 8:05 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 857,Economy,$117
2025-01-21 Tuesday,Departure time: 7:00 PM.,TPE,Arrival time: 8:50 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 809,Economy,$117
2025-01-21 Tuesday,Departure time: 8:20 AM.,TPE,Arrival time: 10:30 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 407,Economy,$141
2025-01-21 Tuesday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 469,Economy,$141
2025-01-21 Tuesday,Departure time: 10:45 AM.,TPE,Arrival time: 1:00 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 489,Economy,$141
2025-01-21 Tuesday,Departure time: 12:25 PM.,TPE,Arrival time: 2:30 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 461,Economy,$141
2025-01-21 Tuesday,Departure time: 3:50 PM.,TPE,Arrival time: 5:55 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 443,Economy,$141
2025-01-21 Tuesday,Departure time: 5:00 PM.,TPE,Arrival time: 7:05 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 421,Economy,$141
2025-01-21 Tuesday,Departure time: 6:35 PM.,TPE,Arrival time: 8:40 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 473,Economy,$141
2025-01-21 Tuesday,Departure time: 7:30 PM.,TPE,Arrival time: 9:35 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 565,Economy,$141
2025-01-21 Tuesday,Departure time: 7:40 PM.,TPE,Arrival time: 9:45 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 451,Economy,$141
2025-01-21 Tuesday,Departure time: 8:15 PM.,TPE,Arrival time: 10:20 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 531,Economy,$141
2025-01-21 Tuesday,Departure time: 9:15 PM.,TPE,Arrival time: 11:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 479,Economy,$141
2025-01-21 Tuesday,Departure time: 1:20 PM.,TPE,Arrival time: 3:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 495,Economy,$174
2025-01-21 Tuesday,Departure time: 11:55 AM.,TPE,Arrival time: 1:55 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 253,Economy,$769
2025-01-21 Tuesday,Departure time: 9:45 PM.,TPE,Arrival time: 11:45 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 283,Economy,$769
2025-01-21 Tuesday,Departure time: 3:45 PM.,TPE,Arrival time: 6:05 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 255,Economy,Price unavailable
2025-01-21 Tuesday,Departure time: 8:25 PM.,TPE,Arrival time: 10:25 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 285,Economy,Price unavailable
